Last price 594195.29, volume 927.39 
Last price 594221.24, volume 927.52 
Last price 593990.83, volume 927.13 
Last price 594009.75, volume 927.13 
Last price 594009.76, volume 926.97 
Last price 595067.93, volume 926.14 
Last price 593465.35, volume 911.13 
Last price 593504.06, volume 910.16 
Last price 593504.07, volume 910.23 
Last price 593504.07, volume 910.23 
Last price 593504.07, volume 910.23 
Last price 593670.83, volume 908.86 
Last price 593708.56, volume 908.56 
Last price 593708.56, volume 908.56 
Last price 593708.56, volume 908.59 
Last price 593704.05, volume 908.63 
Last price 593479.25, volume 908.47 
Last price 593479.25, volume 908.47 
Last price 593479.26, volume 908.52 
Last price 593479.26, volume 908.52 
Last price 593307.83, volume 908.53 
Last price 593307.83, volume 908.53 
Last price 593322.96, volume 908.5 
Last price 593322.96, volume 908.5 
